date,Keith Ape,Kohh,Vince Staples,Higher Brothers,GROUP,REGION
2015-01-04,8,4,8,2,ALL,GLOBAL
2015-01-11,11,5,9,3,ALL,GLOBAL
2015-01-18,10,5,9,2,ALL,GLOBAL
2015-01-25,7,3,9,2,ALL,GLOBAL
2015-02-01,32,11,8,2,ALL,GLOBAL
2015-02-08,48,26,10,2,ALL,GLOBAL
2015-02-15,40,21,11,2,ALL,GLOBAL
2015-02-22,31,15,10,2,ALL,GLOBAL
2015-03-01,35,10,9,2,ALL,GLOBAL
2015-03-08,27,11,9,3,ALL,GLOBAL
2015-03-15,29,12,6,1,ALL,GLOBAL
2015-03-22,23,6,10,2,ALL,GLOBAL
2015-03-29,21,11,8,1,ALL,GLOBAL
2015-04-05,31,9,8,1,ALL,GLOBAL
2015-04-12,23,6,9,0,ALL,GLOBAL
2015-04-19,20,7,9,1,ALL,GLOBAL
2015-04-26,24,8,7,3,ALL,GLOBAL
2015-05-03,17,8,17,3,ALL,GLOBAL
2015-05-10,21,7,20,1,ALL,GLOBAL
2015-05-17,19,8,17,3,ALL,GLOBAL
2015-05-24,15,8,16,3,ALL,GLOBAL
2015-05-31,21,10,19,0,ALL,GLOBAL
2015-06-07,20,9,21,2,ALL,GLOBAL
2015-06-14,17,11,22,3,ALL,GLOBAL
2015-06-21,19,6,32,1,ALL,GLOBAL
2015-06-28,13,6,53,1,ALL,GLOBAL
2015-07-05,26,7,44,2,ALL,GLOBAL
2015-07-12,25,8,36,3,ALL,GLOBAL
2015-07-19,26,9,41,2,ALL,GLOBAL
2015-07-26,100,13,32,1,ALL,GLOBAL
2015-08-02,56,12,30,1,ALL,GLOBAL
2015-08-09,59,11,31,2,ALL,GLOBAL
2015-08-16,48,5,28,2,ALL,GLOBAL
2015-08-23,41,12,32,1,ALL,GLOBAL
2015-08-30,39,9,31,2,ALL,GLOBAL
2015-09-06,42,6,23,2,ALL,GLOBAL
2015-09-13,33,5,27,0,ALL,GLOBAL
2015-09-20,26,6,27,2,ALL,GLOBAL
2015-09-27,31,7,24,3,ALL,GLOBAL
2015-10-04,31,8,22,1,ALL,GLOBAL
2015-10-11,26,8,26,2,ALL,GLOBAL
2015-10-18,24,15,16,2,ALL,GLOBAL
2015-10-25,27,10,32,2,ALL,GLOBAL
2015-11-01,25,6,23,2,ALL,GLOBAL
2015-11-08,41,11,21,2,ALL,GLOBAL
2015-11-15,47,11,20,1,ALL,GLOBAL
2015-11-22,38,8,17,2,ALL,GLOBAL
2015-11-29,35,8,19,3,ALL,GLOBAL
2015-12-06,32,8,24,3,ALL,GLOBAL
2015-12-13,34,5,27,1,ALL,GLOBAL
2015-12-20,40,6,25,1,ALL,GLOBAL
2015-12-27,36,10,23,2,ALL,GLOBAL
2016-01-03,33,9,24,2,ALL,GLOBAL
2016-01-10,35,9,27,2,ALL,GLOBAL
2016-01-17,42,7,26,1,ALL,GLOBAL
2016-01-24,36,11,27,3,ALL,GLOBAL
2016-01-31,46,10,32,1,ALL,GLOBAL
2016-02-07,43,9,29,2,ALL,GLOBAL
2016-02-14,49,14,28,1,ALL,GLOBAL
2016-02-21,38,6,24,2,ALL,GLOBAL
2016-02-28,40,8,19,0,ALL,GLOBAL
2016-03-06,35,8,13,2,ALL,GLOBAL
2016-03-13,36,7,18,2,ALL,GLOBAL
2016-03-20,42,10,21,0,ALL,GLOBAL
