date,GROUP,Interest,REGION
2015-01-04,Keith Ape,8,GLOBAL
2015-01-11,Keith Ape,11,GLOBAL
2015-01-18,Keith Ape,9,GLOBAL
2015-01-25,Keith Ape,7,GLOBAL
2015-02-01,Keith Ape,39,GLOBAL
2015-02-08,Keith Ape,54,GLOBAL
2015-02-15,Keith Ape,40,GLOBAL
2015-02-22,Keith Ape,22,GLOBAL
2015-03-01,Keith Ape,36,GLOBAL
2015-03-08,Keith Ape,27,GLOBAL
2015-03-15,Keith Ape,26,GLOBAL
2015-03-22,Keith Ape,25,GLOBAL
2015-03-29,Keith Ape,25,GLOBAL
2015-04-05,Keith Ape,35,GLOBAL
2015-04-12,Keith Ape,27,GLOBAL
2015-04-19,Keith Ape,27,GLOBAL
2015-04-26,Keith Ape,24,GLOBAL
2015-05-03,Keith Ape,18,GLOBAL
2015-05-10,Keith Ape,19,GLOBAL
2015-05-17,Keith Ape,23,GLOBAL
2015-05-24,Keith Ape,20,GLOBAL
2015-05-31,Keith Ape,21,GLOBAL
2015-06-07,Keith Ape,26,GLOBAL
2015-06-14,Keith Ape,17,GLOBAL
2015-06-21,Keith Ape,21,GLOBAL
2015-06-28,Keith Ape,15,GLOBAL
2015-07-05,Keith Ape,30,GLOBAL
2015-07-12,Keith Ape,25,GLOBAL
2015-07-19,Keith Ape,29,GLOBAL
2015-07-26,Keith Ape,100,GLOBAL
2015-08-02,Keith Ape,52,GLOBAL
2015-08-09,Keith Ape,60,GLOBAL
2015-08-16,Keith Ape,43,GLOBAL
2015-08-23,Keith Ape,36,GLOBAL
2015-08-30,Keith Ape,46,GLOBAL
2015-09-06,Keith Ape,40,GLOBAL
2015-09-13,Keith Ape,36,GLOBAL
2015-09-20,Keith Ape,28,GLOBAL
2015-09-27,Keith Ape,34,GLOBAL
2015-10-04,Keith Ape,38,GLOBAL
2015-10-11,Keith Ape,35,GLOBAL
2015-10-18,Keith Ape,28,GLOBAL
2015-10-25,Keith Ape,29,GLOBAL
2015-11-01,Keith Ape,27,GLOBAL
2015-11-08,Keith Ape,48,GLOBAL
2015-11-15,Keith Ape,57,GLOBAL
2015-11-22,Keith Ape,52,GLOBAL
2015-11-29,Keith Ape,41,GLOBAL
2015-12-06,Keith Ape,45,GLOBAL
2015-12-13,Keith Ape,32,GLOBAL
2015-12-20,Keith Ape,35,GLOBAL
2015-12-27,Keith Ape,40,GLOBAL
2016-01-03,Keith Ape,38,GLOBAL
2016-01-10,Keith Ape,41,GLOBAL
